file_name,hr_file_size,hr_width,hr_height,wr_file_size,wr_width,wr_height
aco0001_h.jpg,4.9 MB,4500,6000,106.7 KB,375,500
aco0002_h.jpg,7.7 MB,4500,6000,210.9 KB,375,500
aco0003_h.jpg,13.5 MB,4500,6000,262.0 KB,375,500
aco0004_h.jpg,7.9 MB,4500,6000,188.7 KB,375,500
aco0005_h.jpg,9.0 MB,4500,6000,224.2 KB,375,500
aco0006_h.jpg,6.5 MB,4500,6000,176.7 KB,375,500
aco0007_h.jpg,8.1 MB,4500,6000,230.8 KB,375,500
aco0008_h.jpg,12.2 MB,4500,6000,244.4 KB,375,500
aco0009_h.jpg,9.6 MB,4500,6000,206.4 KB,375,500
aco0010_h.jpg,13.4 MB,6000,4500,262.1 KB,500,375
aco0011_h.jpg,11.7 MB,4500,6000,251.3 KB,375,500
aco0012_h.jpg,8.5 MB,4500,6000,183.7 KB,375,500
aco0013_h.jpg,9.5 MB,4500,6000,199.0 KB,375,500
aco0014_h.jpg,9.4 MB,6000,4661,221.6 KB,500,388
aco0015_h.jpg,12.5 MB,6000,4500,280.4 KB,500,375
acr0001_h.jpg,5.3 MB,6858,9144,108.0 KB,375,500
acr0002_h.jpg,2.1 MB,2413,3600,107.3 KB,335,500
acr0003_h.jpg,6.5 MB,6858,9144,117.8 KB,375,500
acr0004_h.jpg,3.4 MB,3600,2700,203.8 KB,500,375
acr0005_h.jpg,3.2 MB,2700,3600,156.2 KB,375,500
acr0006_h.jpg,2.4 MB,2400,3600,136.8 KB,333,500
acr0007_h.jpg,2.3 MB,2699,3600,115.6 KB,374,500
acr0008_h.jpg,2.8 MB,2701,3600,134.2 KB,375,500
acr0009_h.jpg,2.0 MB,2700,3554,116.1 KB,379,500
acr0010_h.jpg,2.3 MB,2700,3600,160.5 KB,375,500
acr0011_h.jpg,1.5 MB,3600,2700,114.0 KB,500,375
acr0012_h.jpg,1.9 MB,2700,3600,126.6 KB,375,500
acr0013_h.jpg,2.5 MB,2594,3600,140.3 KB,360,500
acr0014_h.jpg,2.3 MB,2700,3600,141.7 KB,375,500
acr0015_h.jpg,3.1 MB,2440,3600,158.1 KB,338,500
acr0016_h.jpg,2.5 MB,3000,3600,139.4 KB,416,500
acr0017_h.jpg,2.1 MB,2700,3600,132.2 KB,375,500
acr0019_h.jpg,2.1 MB,2700,3600,112.2 KB,375,500
acr0020_h.jpg,1.6 MB,3750,2700,102.7 KB,500,360
acr0022_h.jpg,1.7 MB,2700,3600,100.1 KB,375,500
acr0023_h.jpg,2.0 MB,3600,2700,117.2 KB,500,375
acr0025_h.jpg,3.4 MB,2700,3600,185.1 KB,375,500
acr0026_h.jpg,2.0 MB,2700,3600,129.7 KB,375,500
acr0027_h.jpg,1.5 MB,2700,3600,117.0 KB,375,500
acr0028_h.jpg,3.2 MB,2700,3600,175.7 KB,375,500
acr0029_h.jpg,2.2 MB,2258,3543,137.4 KB,318,500
acr0030_h.jpg,1.8 MB,2740,3543,134.5 KB,386,500
acr0031_h.jpg,1.4 MB,1011,3600,72.5 KB,140,500
acr0032_h.jpg,3.6 MB,2209,3600,128.7 KB,306,500
acr0034_h.jpg,9.8 MB,3600,2754,186.0 KB,500,382
acr0035_h.jpg,2.3 MB,2478,3600,118.7 KB,344,500
acr0037_h.jpg,5.1 MB,3600,2384,170.4 KB,500,331
acr0038_h.jpg,4.0 MB,3600,3600,131.1 KB,500,500
acr0039_h.jpg,3.3 MB,3600,3600,194.2 KB,500,500
acr0041_h.jpg,4.9 MB,3600,3600,213.5 KB,500,500
acr0043_h.jpg,3.2 MB,2610,3600,148.0 KB,362,500
acr0045_h.jpg,4.6 MB,3600,2392,168.9 KB,500,332
acr0046_h.jpg,1.8 MB,2700,4226,61.7 KB,319,500
acr0047_h.jpg,7.8 MB,3600,3600,260.3 KB,500,500
acr0048_h.jpg,16.7 MB,11459,4500,107.9 KB,500,196
acr0049_h.jpg,4.2 MB,2700,3600,117.5 KB,375,500
acr0050_h.jpg,5.1 MB,2700,3600,176.5 KB,375,500
